epoch,train_loss,train_acc,test_acc,epsilon,hidden_eff_rank,hidden_entropy,hidden_k,M_explore,M_nominal,M_eff_tail,M_eff_contract,kappa_tail,kappa_contract,lambda_hybrid,peak_eff_rank,rank_violations,phase,weight_decay,injection_count
1,4.579407025194607,0.007087172218284904,0.010019735843327767,0.22253441587284298,77.0858458149287,4.344919681549072,78,2.302585092994046,0.1,0.047370603486771586,0.1,0.47370603486771584,1.0,0.2002606429192007,77.0858458149287,0,heat,0.1,1
100,4.18384395500686,0.06945428773919206,0.008653408228328526,0.21919053292729987,76.36624441309215,4.335540771484375,79,2.302585092994046,9.99999999999998,5.010686241168663,0.11502636314669555,0.4399982232789117,0.15026363146695546,0.22606429192006952,77.0858458149287,0,heat,0.1,100
200,4.100214629372665,0.08327427356484762,0.0072870806133292845,0.22258819000307162,74.87626165419162,4.3158369064331055,77,2.302585092994046,20.000000000000014,9.946023436861532,0.11502636314669555,0.46001532770739234,0.0,0.25212858384013903,77.0858458149287,0,heat,0.1,200
300,4.0418321758529805,0.08575478384124734,0.006983452254440564,0.2235666672954963,75.56841713055574,4.325038433074951,77,2.302585092994046,30.000000000000156,14.952040168130347,0.11502636314669555,0.610499066989559,0.0,0.27819287576020857,77.0858458149287,0,heat,0.1,300
400,4.049170925632425,0.08823529411764706,0.006983452254440564,0.2225741923841104,76.05495601158808,4.331456184387207,78,2.302585092994046,40.0000000000003,19.9498481531213,0.11946564259470965,0.5525393096726833,0.04439279448014107,0.30425716768027805,77.0858458149287,0,heat,0.1,400
500,3.9816133389652073,0.08291991495393337,0.008197965689995446,0.22210688441104778,75.74565886490933,4.327381134033203,77,2.302585092994046,50.00000000000044,24.965242718470268,0.12156520305163873,0.4892371631823454,0.020995604569290758,0.33032145960034753,77.0858458149287,0,heat,0.1,500
600,3.8988120973236926,0.09780297661233169,0.006831638074996205,0.21780931483457017,75.84504946420064,4.328692436218262,78,2.302585092994046,60.00000000000058,29.995716012743436,0.14091430872152066,0.47590238345617336,0.19349105669881936,0.35638575152041707,77.0858458149287,0,heat,0.1,600
700,3.852402649730085,0.111268603827073,0.006224381357218764,0.22240507815375665,75.99633676790818,4.330685138702393,78,2.302585092994046,70.0000000000003,35.03445047188142,0.14091430872152066,0.5123731397572752,0.0,0.3824500434404866,77.0858458149287,0,heat,0.1,700
800,3.7516717539029627,0.12083628632175762,0.008653408228328526,0.2217531704776838,76.08607845902034,4.331865310668945,78,2.302585092994046,79.99999999999973,40.106696014471616,0.1438454813434972,0.5236257091258348,0.02931172621976538,0.4085143353605561,77.0858458149287,0,heat,0.1,800
900,3.647837875921789,0.1307583274273565,0.005768938818885684,0.21929824613179552,76.31437171392447,4.3348612785339355,78,2.302585092994046,89.99999999999916,45.13029132986973,0.1549160078239082,0.45632713850766904,0.11070526480410972,0.4345786272806256,77.0858458149287,0,heat,0.1,900
1000,3.5018255024578115,0.1573352232459249,0.006376195536663124,0.2196154613862842,76.31768323283153,4.334904670715332,78,2.302585092994046,99.9999999999986,50.15375598488373,0.1549160078239082,0.4664114382431456,0.0,0.4606429192006951,77.0858458149287,0,heat,0.1,1000
1100,3.3557981983471388,0.18781006378454995,0.006072567177774404,0.22129263813189815,76.88383502422704,4.3422956466674805,78,2.302585092994046,109.99999999999802,55.172514591895414,0.1549160078239082,0.5329594070309721,0.0,0.4867072111207646,77.0858458149287,0,heat,0.1,1100
1200,3.302601469906402,0.18710134656272148,0.005768938818885684,0.21731485408586504,77.26112025459278,4.347190856933594,79,2.302585092994046,119.99999999999746,60.169103662665925,0.1728912286880664,0.5576618806945056,0.17975220864158198,0.5127715030408342,77.26112025459278,0,heat,0.1,1200
1300,3.1562478875201445,0.22041105598866054,0.006072567177774404,0.21901416471374532,76.74655204772282,4.340508460998535,78,2.302585092994046,129.9999999999969,65.16547747254953,0.1728912286880664,0.4864421949107025,0.0,0.5388357949609037,77.26112025459278,0,heat,0.1,1300
1400,3.018617268237216,0.2469879518072289,0.003795354486109003,0.2231996801385922,77.20127686156377,4.346415996551514,78,2.302585092994046,139.99999999999633,70.24256762920704,0.1728912286880664,0.48590186672177954,0.0,0.5649000868809732,77.26112025459278,0,heat,0.1,1400
1500,2.9026773920471496,0.24982282069454287,0.0018217701533323211,0.21800341515399474,77.2543786506743,4.347103595733643,79,2.302585092994046,149.99999999999577,75.30814564711467,0.19617201915053895,0.4850676923773401,0.23280790462472567,0.5909643788010427,77.26112025459278,0,heat,0.1,1500
