epoch,train_loss,train_acc,test_acc,epsilon,hidden_eff_rank,hidden_entropy,hidden_k,M_explore,M_nominal,M_eff_tail,M_eff_contract,kappa_tail,kappa_contract,lambda_hybrid,peak_eff_rank,rank_violations,phase,weight_decay,injection_count
1,4.579407025194607,0.007087172218284904,0.009108850766661606,0.22308985828489042,78.29600038150316,4.360496520996094,79,2.302585092994046,0.1,0.051862079272877795,0.1,0.5186207927287779,1.0,0.2,78.29600038150316,0,heat,0.1,1
50,2.4642947889405056,0.3614457831325301,0.0004554425383330803,0.22094021177464104,32.42504728803408,3.478931188583374,35,2.302585092994046,4.999999999999998,2.711276127663621,0.1096825122867708,0.5491643443494728,0.001976022915667508,0.2,78.29600038150316,1,heat,0.1,50
100,0.884369217192003,0.8724309000708718,0.0006072567177774404,0.21834600779325367,36.425869281526886,3.5952792167663574,41,2.302585092994046,9.99999999999998,5.444286599234678,0.12149364600324797,0.5108843229362271,0.0023622267432954363,0.2,78.29600038150316,2,heat,0.1,100
150,0.3463729953698281,0.981218993621545,0.0007590708972218005,0.21735083105812578,40.2065455920996,3.6940298080444336,46,2.302585092994046,14.999999999999963,8.191021770072457,0.126061861225613,0.5230628728151699,0.000913643044473004,0.2,78.29600038150316,3,heat,0.1,150
200,0.1597784993012352,0.997165131112686,0.0004554425383330803,0.21775938124212119,42.730190192835195,3.7549057006835938,49,2.302585092994046,20.000000000000014,10.919519073552157,0.126061861225613,0.5116716888161028,0.0,0.2,78.29600038150316,4,heat,0.1,200
250,0.10512065258032882,0.9982282069454288,0.0009108850766661606,0.21896078672935543,44.21372761028151,3.7890353202819824,50,2.302585092994046,25.000000000000085,13.583100385406745,0.126061861225613,0.5670843000549883,0.0,0.2,78.29600038150316,5,heat,0.1,250
300,0.0617299565740463,1.0,0.0010626992561105207,0.21987878995275903,45.85790964474678,3.825547695159912,51,2.302585092994046,30.000000000000156,16.31215233051584,0.126061861225613,0.6010730062873911,0.0,0.2,78.29600038150316,6,heat,0.1,300
350,0.06208907603467719,1.0,0.0007590708972218005,0.21994349077258551,47.194691850653165,3.854281425476074,52,2.302585092994046,35.00000000000023,19.004637378018113,0.126061861225613,0.6582805525094998,0.0,0.2,78.29600038150316,6,heat,0.1,350
400,0.05856516010779425,0.9992912827781715,0.0004554425383330803,0.21745329949024872,47.93499715400434,3.8698458671569824,53,2.302585092994046,40.0000000000003,21.704134143661253,0.13744840197233787,0.5411205529652817,0.002277308149344979,0.2,78.29600038150316,6,heat,0.1,400
450,0.03625380330204879,1.0,0.0013663276149992408,0.21718959749952288,48.105104320233465,3.8733882904052734,53,2.302585092994046,45.00000000000037,24.39487160400875,0.13866182119491394,0.5506407446057412,0.00024268384451521318,0.2,78.29600038150316,6,heat,0.1,450
500,0.04374860041899558,1.0,0.0022772126916654014,0.22116817433940647,48.27137254846654,3.8768386840820312,53,2.302585092994046,50.00000000000044,27.035515877083803,0.13866182119491394,0.5739957351609233,0.0,0.2,78.29600038150316,6,heat,0.1,500
550,0.031150352914733805,1.0,0.0019735843327766812,0.22336112230913202,48.656117504087334,3.884777545928955,53,2.302585092994046,55.00000000000051,29.763715168802328,0.13866182119491394,0.5786454474036535,0.0,0.2,78.29600038150316,6,heat,0.1,550
