bulk_compression_ratio,deficit_hidden_1,deficit_input,deficit_output,entropy_gap,entropy_prod_global,entropy_prod_hidden_1,entropy_prod_input,entropy_prod_output,epoch,global_eff_rank,global_entropy,hidden_1_eff_rank,hidden_1_entropy,hq_phase,hq_wd,input_eff_rank,input_entropy,output_eff_rank,output_entropy,test_acc,train_acc,train_loss
0.8490832420725533,0.036633145064115524,0.01257016509771347,0.03443346917629242,0.16359806060791016,,,,,1,138.55189514160156,4.931244850158691,78.23621368408203,4.359732627868652,heat,0.1,92.14198303222656,4.5233306884765625,66.136474609375,4.191720485687256,0.009412479125550327,0.00956768249468462,4.577613306417269
0.6589016355392792,0.08328785002231598,0.01862168498337269,0.05593438819050789,0.41718101501464844,-0.004645824432373047,-0.3141145706176758,-0.0605316162109375,-0.14442777633666992,100,137.90968322753906,4.926599025726318,57.1464958190918,4.045618057250977,heat,0.1,86.72993469238281,4.462799072265625,57.24227523803711,4.047292709350586,0.0,0.4829907866761162,2.11074120689165
0.6473829378225066,0.07975135743618011,0.014126374386250973,0.05443313717842102,0.4348173141479492,0.003089427947998047,0.02791595458984375,0.04555225372314453,0.017609596252441406,200,138.33641052246094,4.929688453674316,58.7642707824707,4.07353401184082,heat,0.1,90.77204132080078,4.5083513259887695,58.25921630859375,4.064902305603027,0.0001518141794443601,0.9684620836286322,0.5594549584608396
0.6559198501732362,0.07629503309726715,0.013631180860102177,0.05274846404790878,0.42171669006347656,-0.003494739532470703,0.015956878662109375,0.0028562545776367188,0.005188941955566406,300,137.8538055419922,4.926193714141846,59.7094841003418,4.08949089050293,heat,0.1,91.03167724609375,4.511207580566406,58.56230545043945,4.070091247558594,0.0006072567177774404,0.9989369241672572,0.20389869433189436
0.6603686439679993,0.0739966630935669,0.01325799897313118,0.050253234803676605,0.41495704650878906,0.0012898445129394531,0.010401725769042969,0.0036420822143554688,0.01069498062133789,400,138.03172302246094,4.927483558654785,60.33380889892578,4.099892616271973,heat,0.1,91.36383056640625,4.514849662780762,59.19198989868164,4.080786228179932,0.0003036283588887202,1.0,0.11082613934425493
0.6693298595567164,0.0720570757985115,0.013473685830831528,0.048957712948322296,0.40147829055786133,0.000850677490234375,0.012661933898925781,-0.0008168220520019531,0.0059661865234375,500,138.14920043945312,4.9283342361450195,61.10260772705078,4.112554550170898,heat,0.1,91.28923034667969,4.51403284072876,59.54619598388672,4.086752414703369,0.0003036283588887202,1.0,0.07344732022217873
0.6824608697263774,0.06816031783819199,0.013310151174664497,0.04628453403711319,0.3820500373840332,-0.002735614776611328,0.015861988067626953,-0.003566265106201172,0.011669635772705078,600,137.77178955078125,4.925598621368408,62.07954025268555,4.128416538238525,heat,0.1,90.96424865722656,4.510466575622559,60.24515151977539,4.098422050476074,0.0007590708972218005,0.9996456413890857,0.05099321613490877
0.688830640586243,0.06682100892066956,0.013573534786701202,0.04638857766985893,0.3727598190307617,0.0013403892517089844,0.008877277374267578,-0.00041294097900390625,0.0007572174072265625,700,137.95651245117188,4.926939010620117,62.633094787597656,4.137293815612793,heat,0.1,90.92669677734375,4.510053634643555,60.29078674316406,4.099179267883301,0.0003036283588887202,1.0,0.03865219856738453
0.6981920558819803,0.06550940871238708,0.014069715514779091,0.04439122602343559,0.35926103591918945,0.00250244140625,0.012622356414794922,-0.0008764266967773438,0.013605594635009766,800,138.30224609375,4.929441452026367,63.428680419921875,4.149916172027588,heat,0.1,90.84703826904297,4.509177207946777,61.11668395996094,4.1127848625183105,0.0001518141794443601,1.0,0.029446848296553085
0.703769422806252,0.06494341790676117,0.01434034202247858,0.04425528645515442,0.3513045310974121,0.0018758773803710938,0.006779193878173828,-0.0011773109436035156,0.0035309791564941406,900,138.5619354248047,4.931317329406738,63.860137939453125,4.156695365905762,heat,0.1,90.74014282226562,4.507999897003174,61.332862854003906,4.116315841674805,0.0007590708972218005,1.0,0.023904510522241462
